user.name	tweet.location	tweet.geoLocation	tweet.retweet	tweet.content	block.numsenti.negative	senti.neutral	senti.positive	senti.compound
21Madmarv	Phoenix, AZ	-111.9792,33.59475	false	God gave you this life because you are strong enough to live it  #MotivationMonday @ Link In Bio https://t.co/qQkYwtsldR	339	0.0	0.748	0.252	0.6597
tmj_phx_nursing	Arizona, USA	-112.1859866,33.5386523	false	Want to work in #Glendale, AZ? View our latest opening: https://t.co/FNa7k2m7PO #Job #Nursing #Jobs #Hiring #CareerArc	268	0.0	0.92	0.08	0.0772
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Join the St. Luke's Medical Center team! See our latest #job opening here: https://t.co/UTZoKeLakK #SignOnBonus https://t.co/Csnh9uGP8Y	196	0.0	0.858	0.142	0.3595
PLRGRESALE	Phoenix, AZ	-112.047979,33.523871	false	lululemon size 10 shorts at Uptown! Only $30! (Small mark on back, will send pictures upon https://t.co/eTNR3LfJnY	256	0.0	1.0	0.0	0.0
PLRGRESALE	Phoenix, AZ	-112.047979,33.523871	false	lululemon size 4 tank for $25 at Uptown! And don't forget, an extra 15% off all Instagram and https://t.co/mCY3PHN7jN	256	0.0	0.897	0.103	0.2401
AnGchiyo	Phoenix, AZ	-112.07638889,33.52833333	false	My healthy snack todayThey're boring but delicious!! What's SNACK'N PEEPS @ Phoenix, https://t.co/olJf5WfihR	274	0.091	0.496	0.413	0.7804
recruiteraz	Phoenix, AZ	-112.0863874,33.5080943	false	Can you recommend anyone for this #job? Nurse Practitioner - (Full time/Days) - Midtown OB/GYN - https://t.co/A6t5PhdYr0 #Phoenix, AZ	254	0.0	0.857	0.143	0.3612
StJosephsJobs	Phoenix, AZ	-112.0863874,33.5080943	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/AJ4UdNpIcc #Job #Physician #Jobs #Hiring	254	0.0	0.915	0.085	0.0772
PinkHouse	Arizona, USA	-112.18359547,33.53888991	false	This week we're featuring gifts under $20  Assorted Cat & dog print cross-body purses $14 & https://t.co/icR7cA0rGA	268	0.0	1.0	0.0	0.0
Yxes	Phoenix, AZ	-112.1274816,33.58141304	false	Yep! It's That time! Hehe I love these baristas!! They ROCK! #Stsrbuckd (@ Starbucks) https://t.co/PoUEiTnunf https://t.co/CfFRCNrsYB	331	0.0	0.632	0.368	0.8209
tmj_phx_banking	Phoenix, AZ	-112.0740373,33.4483771	false	Join the Wells Fargo team! See our latest #job opening here: https://t.co/SP6dmbDtPl #Banking #Phoenix, AZ #Veterans #Hiring #CareerArc	174	0.0	0.781	0.219	0.5411
RedKen666	Phoenix, AZ	-111.96161111,33.51472222	false	Climbing mountains with superwoman @ Camelback Mountain https://t.co/YH95wkIgyx	260	0.0	1.0	0.0	0.0
tmj_usa_purch	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/854j7KvMCt #Purchasing #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
tmj_phx_transp	Phoenix, AZ	-112.1310986,33.4438042	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/dj2igNF7wp #Transportation #Hiring #CareerArc	171	0.0	0.563	0.437	0.8519
tmj_phx_health	Phoenix, AZ	-112.1123006,33.6629851	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/M77n3jhWer #Healthcare #Hiring #CareerArc	412	0.0	0.839	0.161	0.3612
CultureFresh	Phoenix, AZ	-112.0823051,33.426939	false	Daily grind #screenprinting #basketballjersey #printwork #localbusiness #yourideahere https://t.co/HCHhZeyo2M	154	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Join the St. Luke's Medical Center team! See our latest #job opening here: https://t.co/t6CjxSPkOV #SignOnBonus https://t.co/FsZZ56V8Kp	196	0.0	0.858	0.142	0.3595
SONICjobs	Arizona, USA	-112.2390975,33.681104	false	If you're looking for work in #Peoria, AZ, check out this #job: https://t.co/4KTbp5OzJJ #ChefJobs #LineCook https://t.co/Sm6mqJM4gc	425	0.0	1.0	0.0	0.0
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at The MENTOR Network ? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/pzpsyKvFmS #Job #Jobs #CareerArc	174	0.0	0.919	0.081	0.1511
JobsAtNordstrom	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job? Seasonal General Processing Employee - https://t.co/2v1hqQybzj #Labor https://t.co/C6D2QpOtt9	174	0.0	0.839	0.161	0.3612
HonorHealthJobs	Phoenix, AZ	-112.0670612,33.5699124	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/dnKrIG4Lco #Clerical #Hiring https://t.co/2Ng4kpxdxo	315	0.0	0.839	0.161	0.3612
tmj_phx_nursing	Phoenix, AZ	-112.07,33.45	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/I3LRRt7wXT #Nursing #Hiring #CareerArc	174	0.0	0.563	0.437	0.8519
tmj_phx_sales	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at Liberty Mutual Insurance? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/Qo6MYIIcs0 #Job #Sales #Jobs	174	0.0	0.773	0.227	0.6114
CaniacCareers	Tolleson, AZ	-112.273157,33.4630634	false	Want to work in #Avondale, AZ? View our latest opening: https://t.co/99YVyZRXx5 #Job #Hospitality #Jobs #Hiring https://t.co/BY2HF1tEEU	183	0.0	0.92	0.08	0.0772
AllWMJobs	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job? Collector - RMC - https://t.co/RjJKzGNp9x #Accounting #Phoenix, AZ https://t.co/m60alChJ7Y	174	0.0	0.839	0.161	0.3612
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	Can you recommend anyone for this #job? Host - https://t.co/TUkWNHvwrA #Hospitality #Peoria, AZ #Veterans #Hiring #CareerArc	385	0.0	0.848	0.152	0.3612
mixsen84	Phoenix, AZ	-112.07638889,33.52833333	false	Working out in the backyard. Gotta pay the toll if I wanna keep on my journey felt good to get https://t.co/9pbnBLtlp0	274	0.063	0.807	0.13	0.3612
75tattooed	Youngtown, AZ	-112.29940353,33.60502848	false	Getting shaved up by the one and only nippers_clippers #az #aztattooer #tattoo #tattoos https://t.co/mbr43zzdQA	342	0.0	1.0	0.0	0.0
tmj_phx_retail	Arizona, USA	-112.2026347,33.664516	false	Can you recommend anyone for this #job? Assistant Store Manager - https://t.co/BLB1NBULnB #Retail #Glendale, AZ #Hiring #CareerArc	407	0.0	0.857	0.143	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	This #job might be a great fit for you: Registered Nurse - Regional Transfer Center - Full Time - https://t.co/sBXg9fn0xq	196	0.0	0.68	0.32	0.765
JoinMENTORNetwk	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at The MENTOR Network ? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/QNPFUlCWtw #Job #Healthcare #Jobs	174	0.0	0.919	0.081	0.1511
tmj_phx_health	Phoenix, AZ	-112.0670612,33.5699124	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/MCt2oeiBFw #Healthcare #Hiring #CareerArc	315	0.0	1.0	0.0	0.0
tmj_phx_cstsrv	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Global Account Coordinator (bilingual a plus) - https://t.co/motj9MfFXa #Job #CustomerService #Phoenix, AZ	174	0.0	1.0	0.0	0.0
tmj_phx_health	Phoenix, AZ	-112.0670612,33.5699124	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/MCt2oeiBFw #Healthcare #Hiring #CareerArc	315	0.0	1.0	0.0	0.0
HonorHealthJobs	Phoenix, AZ	-112.0670612,33.5699124	false	Can you recommend anyone for this #job? MEDICAL ASST - https://t.co/kCRSU12UxG #Healthcare #Phoenix, AZ #Hiring https://t.co/Ye5QVoDh78	315	0.0	0.848	0.152	0.3612
AmersR	Phoenix, AZ	-111.98141098,33.33160393	false	I'm at @HillsideSpot in Phoenix, AZ https://t.co/pqvsKRqvEm	59	0.0	1.0	0.0	0.0
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	We're #hiring! Click to apply: Server - https://t.co/xB1A1Vw8yP #Job #Hospitality #Peoria, AZ #Veterans #Jobs #CareerArc	385	0.0	1.0	0.0	0.0
tmj_phx_nursing	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/R0NVa8TXU7 #Nursing #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
tmj_phx_itdb	Phoenix, AZ	-112.1123006,33.6629851	false	We're #hiring! Click to apply: Engineer Client Technology - https://t.co/EA1gerODlO #Job #Database #Phoenix, AZ #Jobs #CareerArc	412	0.0	1.0	0.0	0.0
SarahSchott3	Phoenix, AZ	-112.07338929,33.51362423	false	I'm at @WindsorAz in Phoenix, AZ https://t.co/M38dfzGk0r	254	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/wtur6JuGIQ #SignOnBonus #NurseLife https://t.co/cUpOT0nQfs	196	0.0	0.563	0.437	0.8519
Simply_Chavonne	Phoenix, AZ	-112.07638889,33.52833333	false	Three pairs of brand name sneakers for less than $65 plus I will be getting 10% cash back from https://t.co/bKRotIL3Iy	274	0.0	1.0	0.0	0.0
Valerianus	Phoenix, AZ	-112.11321425,33.63346592	false	I'm at Villa Picena in Phoenix, AZ https://t.co/eSxpcdFKLm	392	0.0	1.0	0.0	0.0
elizardbreath88	Arizona, USA	-112.18995809,33.69158968	false	Started out the day with a sweet trailside jog this morning #morningworkout #thunderbirdmountain https://t.co/p1V8kGPW55	448	0.0	0.8	0.2	0.4588
BaileyNetsch	Phoenix, AZ	-112.07356,33.44791	false	Kind of liking my new place {and new socks} @ Downtown Phoenix, AZ https://t.co/4nDqWWlzZ6	174	0.0	0.816	0.184	0.4019
tmj_AZ_auto	Tolleson, AZ	-112.259321,33.4500425	false	If you're looking for work in #Tolleson, AZ, check out this #job: https://t.co/8KMzHnsfuH #Automotive #Hiring #CareerArc	164	0.0	1.0	0.0	0.0
tmj_phx_cler	Phoenix, AZ	-112.0670612,33.5699124	false	Join the HonorHealth team! See our latest #job opening here: https://t.co/QXZRJnBwyK #Clerical #Phoenix, AZ #Hiring #CareerArc	315	0.0	0.858	0.142	0.3595
tmj_phx_health	Phoenix, AZ	-112.1012912,33.6782379	false	See our latest #Phoenix, AZ #job and click to apply: TELEMETRY TECHNICIAN - PD's - https://t.co/6P223yCubz #Healthcare #Hiring #CareerArc	433	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound LOST CHIHUAHUA 4TH OF JULY (6231 w mcdowell rd): Princess is female chihuahua white small 6 years https://t.co/9b0aKrpNGe	174	0.159	0.841	0.0	-0.4648
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound **FOUND* (2 dogs) - Male Terrier mix, Male Boston/Chi mix (19th Ave & Union Hills): **FOUND* (2 https://t.co/0b7bE5pG8H	174	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Chihuahua/Pug mix found at 40th Street and Washington: This Chihuahua/Pug mix was found on 40th https://t.co/yUiQ5F1Dtf	174	0.0	1.0	0.0	0.0
TravelNurseWork	Sun City, AZ	-112.2718239,33.5975393	false	Want to work in #SunCity, AZ? View our latest opening: https://t.co/xCsSs3cys8 #Job #TravelNurse #NurseLife https://t.co/a70INpdBJb	343	0.0	0.915	0.085	0.0772
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Lost or Found a Dog? Free Resources-Central (Statewide): Have you LOST or FOUND A DOG in the https://t.co/KTPFIADICM	174	0.236	0.619	0.146	-0.2577
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	Can you recommend anyone for this #job in #Peoria, AZ? https://t.co/ZO7QCWm15s #Hospitality #Veterans #Hiring #CareerArc	385	0.0	0.848	0.152	0.3612
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at Wells Fargo? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/NHyPRi2vY3 #Job #Jobs #CareerArc	174	0.0	0.817	0.183	0.3802
HonorHealthJobs	Phoenix, AZ	-112.0670612,33.5699124	false	See our latest #Phoenix, AZ #job and click to apply: MEDICAL OFFICE ASSISTANT - https://t.co/xHaB0VywiW #Clerical https://t.co/1Gem61iDQZ	315	0.0	1.0	0.0	0.0
tmj_phx_labor	Phoenix, AZ	-112.0740373,33.4483771	false	Join the FedEx Ground team! See our latest #job opening here: https://t.co/ssk4FkRg5o #Labor #Phoenix, AZ #Hiring #CareerArc	174	0.0	0.865	0.135	0.3595
AZCardsGirl29	Phoenix, AZ	-112.079323,33.454907	false	Lunchtime! I love the grilled fish tacos. (@ The Vig Fillmore in Phoenix, AZ) https://t.co/kA9QyuSIP0	194	0.0	0.743	0.257	0.6696
JobsatVA	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work at Department of Veterans Affairs? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/rMUlKJJhd2	174	0.0	0.91	0.09	0.1511
recruiteraz	Phoenix, AZ	-112.0863874,33.5080943	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/iz9hyRhik0 #Nursing #Hiring	254	0.0	0.828	0.172	0.3612
deannerussell	Phoenix, AZ	-112.0863874,33.5080943	false	This #job might be a great fit for you: Physician Billing/Collection Specialist II - https://t.co/kqfaDy6f0L #Healthcare #Phoenix, AZ	254	0.0	0.68	0.32	0.765
StJosephsJobs	Phoenix, AZ	-112.0863874,33.5080943	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/47ZFBc3466 #Nursing #Hiring	254	0.0	0.542	0.458	0.8519
JobsatNCGHotels	Arizona, USA	-112.1859866,33.5386523	false	Assistant Executive Housekeeper $500 SIGN ON BONUS - NCG: (#Glendale, AZ) https://t.co/EYtKhjoR3C #empleo #diversity #hoteljobs #travel	268	0.0	0.768	0.232	0.6408
tmj_phx_nursing	Phoenix, AZ	-112.0740373,33.4483771	false	This #job might be a great fit for you: Medical Imaging(30512) - https://t.co/1R6sW9h33u #Nursing #Phoenix, AZ #Hiring #CareerArc	174	0.0	0.68	0.32	0.765
WorkAtBJs	Phoenix, AZ	-111.9736513,33.676354	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/V3bxvUD37i #Restaurant #Hiring	440	0.0	0.828	0.172	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/enxBHA3P0B #SignOnBonus #NurseLife https://t.co/2PthUNEF6n	196	0.0	1.0	0.0	0.0
tmj_AZS_retail	Phoenix, AZ	-111.9828617,33.5976421	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/9MLEKAPscb #Retail #Hiring #CareerArc	359	0.0	0.839	0.161	0.3612
freedomofyou	Phoenix, AZ	-112.06640709,33.36989067	false	FOR ALL MY GRAMMERS @ South Moutain https://t.co/tlffB4rUQi	95	0.0	1.0	0.0	0.0
DesertViewRealt	Phoenix, AZ	-112.074094,33.362276	false	Great single family home with new paint, new carpet, new tile, new window coverings and new fixtures. https://t.co/zrg18DxnY6	74	0.0	0.806	0.194	0.6249
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	Can you recommend anyone for this #job in #Peoria, AZ? https://t.co/WrQ0jKG2oe #Hospitality #Veterans #Hiring #CareerArc	385	0.0	0.848	0.152	0.3612
tmj_phx_acct	Phoenix, AZ	-112.029752,33.5106684	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/mGg26vepAz #Accounting #Hiring #CareerArc	257	0.0	0.563	0.437	0.8519
tmj_phx_cosmo	Phoenix, AZ	-112.2401343,33.4247437	false	See our latest #Phoenix, AZ #job and click to apply: Hair Stylist - https://t.co/IOSS9AMqh0 #Cosmetology #Hiring #CareerArc	145	0.0	1.0	0.0	0.0
WorkAtBJs	Phoenix, AZ	-111.9736513,33.676354	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/0SgrhcAy9A #Restaurant #Hiring	440	0.0	0.828	0.172	0.3612
tmj_phx_health	Sun City, AZ	-112.2718239,33.5975393	false	If you're looking for work in #SunCity, AZ, check out this #job: https://t.co/AEZE4Xqc7H #Healthcare #Hiring #CareerArc	343	0.0	1.0	0.0	0.0
work4dominos	Phoenix, AZ	-112.0740373,33.4483771	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/w80X2ikorB #Hospitality #Hiring	174	0.0	0.542	0.458	0.8519
tmj_phx_it	Phoenix, AZ	-112.0863874,33.5080943	false	See our latest #Phoenix, AZ #job and click to apply: Integration Developer III (Remote option) - https://t.co/Uxq4oGxvd4 #IT #Hiring	254	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/OUqqzwCDxI #Job #SignOnBonus #NurseLife https://t.co/1Rv291YI9r	196	0.0	0.915	0.085	0.0772
rpwebb	Phoenix, AZ	-111.995728,33.494137	false	I'm at Brick Oven Pizza On 40th in Phoenix, AZ https://t.co/6q0Ob1tRn3	239	0.0	1.0	0.0	0.0
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	Join the The Cheesecake Factory team! See our latest #job opening here: https://t.co/WYYgAON4Yn #Hospitality #Peoria, AZ #Veterans #Hiring	385	0.0	0.872	0.128	0.3595
tmj_phx_nursing	Phoenix, AZ	-112.0740373,33.4483771	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/EnBVrOVTBY #Job #Nursing #Jobs #Hiring #CareerArc	174	0.0	0.92	0.08	0.0772
DesertViewRealt	Phoenix, AZ	-112.13766,33.458014	false	MAJOR FIXER UPPER! CASH BUYERS ONLY. SOLD AS-IS. DRIVE BY ONLY. PLEASE MAKE OFFERS SUBJECT TO INTERIOR INSPECTION. https://t.co/bxXsUr2Rjx	191	0.0	0.844	0.156	0.5147
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job? Respiratory Therapist - https://t.co/ilOchNOSCq #Healthcare #Phoenix, AZ #Hiring #CareerArc	174	0.0	0.848	0.152	0.3612
tmj_phx_jobs	Phoenix, AZ	-112.0740373,33.4483771	false	See our latest #Phoenix, AZ #job and click to apply: Certified Caregiver - https://t.co/nr6VfNSAzb #Hiring #CareerArc	174	0.0	1.0	0.0	0.0
chrisgrohusko	Phoenix, AZ	-112.02793658,33.51087353	false	Tracking every single motion of the #Moon and #clouds down to the millimeter #photooftheday https://t.co/IjEnfR6bnm	257	0.0	1.0	0.0	0.0
MSMrecruiter	Phoenix, AZ	-112.0742543,33.4771563	false	We're #hiring! Read about our latest #job opening here: Staff Electrical Engineer - https://t.co/BOWTtnb8nt https://t.co/jj1n9ZVpAJ	214	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	See our latest #Phoenix, AZ #job and click to apply: Registered Nurse - Intensive Care Unit - Full Time -... - https://t.co/wqm17gWGPE	196	0.0	0.849	0.151	0.4939
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	Want to work in #Peoria, AZ? View our latest opening: https://t.co/Vr9WZrQwYo #Job #Hospitality #Veterans #Jobs #Hiring #CareerArc	385	0.0	0.925	0.075	0.0772
eastvalleyEFK	Phoenix, AZ	-111.99529,33.3051	false	Spectacular Ice Structure was constructed by all of the hard-working Engineers at thr Festical https://t.co/j1wuq4aAva	19	0.0	1.0	0.0	0.0
tmj_phx_sales	Phoenix, AZ	-112.029752,33.4040693	false	This #job might be a great fit for you: HEDIS Project Assistant - https://t.co/QHKVdFWVZl #Sales #Phoenix, AZ #Hiring #CareerArc	137	0.0	0.694	0.306	0.765
HonorHealthJobs	Phoenix, AZ	-112.1123006,33.6629851	false	Can you recommend anyone for this #job? CLINICAL DECISION SUPPORT ANALYST II - https://t.co/K9PtADsMMT #Healthcare https://t.co/Z3AuSZCccS	412	0.0	0.687	0.313	0.7125
tmj_phx_nursing	Sun City, AZ	-112.2718239,33.5975393	false	Can you recommend anyone for this #job in #SunCity, AZ? https://t.co/VOOiwzQUhi #Nursing #Hiring #CareerArc	343	0.0	0.839	0.161	0.3612
StefanieCrum	Phoenix, AZ	-112.07638889,33.52833333	false	Day 15 in the books for Core de Force I'm getting faster and leaner. My endurance is also https://t.co/D1HktWoZDQ	274	0.0	1.0	0.0	0.0
recruiteraz	Phoenix, AZ	-112.0863874,33.5080943	false	We're #hiring! Click to apply: Social Worker-Care Coordination (PRN) - https://t.co/hnxwt1vXKO #Job #SocialSciences #Phoenix, AZ #Jobs	254	0.0	1.0	0.0	0.0
StJosephsJobs	Phoenix, AZ	-112.0863874,33.5080943	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/MMv7R59uLw #Nursing #Hiring	254	0.0	0.828	0.172	0.3612
deannerussell	Phoenix, AZ	-112.0863874,33.5080943	false	This #job might be a great fit for you: Nurse Practitioner - (Full time/Days) - Midtown OB/GYN - https://t.co/BUS97Htx1c #Phoenix, AZ	254	0.0	0.694	0.306	0.765
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	See our latest #Phoenix, AZ #job and click to apply: Respiratory Therapist - https://t.co/lqoxMxSV6v #Healthcare #Hiring #CareerArc	174	0.0	1.0	0.0	0.0
tmj_phx_manuf	Phoenix, AZ	-112.0740373,33.4483771	false	See our latest #Phoenix, AZ #job and click to apply: Saw Operator - https://t.co/AbEnC3V3Fa #Manufacturing #Hiring #CareerArc	174	0.0	1.0	0.0	0.0
PLRGRESALE	Phoenix, AZ	-112.047979,33.523871	false	@michaelkors navy size 7.5 loafers at Uptown for just $26! Have been loved a little, but still https://t.co/M7xyzSQ2MC	256	0.0	0.854	0.146	0.4102
tmj_phx_transp	Phoenix, AZ	-112.0148373,33.4941311	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/J2VySK0gGj #Transportation #Hiring #CareerArc	238	0.0	0.563	0.437	0.8519
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/Edsb1CHjJQ #Job #SignOnBonus #NurseLife https://t.co/Q7NfsTJMCE	196	0.0	0.915	0.085	0.0772
PLRGRESALE	Phoenix, AZ	-112.047979,33.523871	false	Cutie little coach wristlet at Uptown...only $22 and perfect for a stocking stuffer! #ootd https://t.co/GKCKWWbxZn	256	0.0	0.649	0.351	0.7574
tmj_phx_hrta	Phoenix, AZ	-112.0295106,33.5103372	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/jwvgLerpXL #Hospitality #Veterans #Hiring #CareerArc	257	0.0	1.0	0.0	0.0
AJMoorehead	Phoenix, AZ	-112.00344,33.49564	false	Great Thanksgiving weekend. Here we are at the best tiki bar in AZ. Joe looks like Dickie https://t.co/UKwabCgNDp	238	0.0	0.581	0.419	0.8957
NotableBirdsAZ	null	-112.2597653,33.389402	false	1 Zone-tailed Hawk (Buteo albonotatus) - Tres Rios Overbank Wetlands (permit required) - 2016-11-26 08:45 https://t.co/GaxYbVhTWA	104	0.0	1.0	0.0	0.0
LynnRushWrites	Arizona, USA	-112.2728049,33.7080381	false	Birthday lunch with my BFF. #lifeisgood @ Barro's Pizza https://t.co/Bp5V9u2G0y	463	0.0	0.633	0.367	0.6841
JoinMENTORNetwk	Phoenix, AZ	-112.0740373,33.4483771	false	We're #hiring! Click to apply: Program Records Coordinator - https://t.co/DOHMMmTLmA #Job #Healthcare #Phoenix, AZ #Jobs	174	0.0	1.0	0.0	0.0
JobsatNCGHotels	Phoenix, AZ	-112.0740373,33.4483771	false	This #job might be a great fit for you: Housekeeper Room Attendant - https://t.co/2wKKFQ6z3t #empleo #HouseKeeping #HouseKeeper #Phoenix,	174	0.0	0.68	0.32	0.765
MTC_Jobs	Phoenix, AZ	-112.256285,33.4895398	false	See our latest #Phoenix, AZ #job and click to apply: Special Education Teacher - https://t.co/xy7sMFdiYz #SpecialEd https://t.co/KrzZ9bgobd	224	0.0	0.847	0.153	0.4019
docredfield	Arizona, USA	-112.17876796,33.53899328	false	I've just posted some EXCLUSIVE #art for my #Patreon /scottpvaughn followers ..check it https://t.co/3HNXd4Kte9	268	0.0	0.853	0.147	0.3034
PLRGRESALE	Phoenix, AZ	-112.047979,33.523871	false	Lov these @elietahari heels at Uptown! Size 8 and just $26! #ootd #shoplocalphx #igersphx https://t.co/jZjtxNGcqP	256	0.0	1.0	0.0	0.0
freedomofyou	Phoenix, AZ	-112.06640709,33.36989067	false	Yassss @ South Moutain https://t.co/mEP3SjrH7t	95	0.0	1.0	0.0	0.0
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Weather now: few clouds, 52F, 5 mph southeast wind. https://t.co/ST031yJhJB	193	0.0	1.0	0.0	0.0
tmj_phx_cler	Phoenix, AZ	-112.0670612,33.5699124	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/XahyoUWxD8 #Clerical #Hiring #CareerArc	315	0.0	0.839	0.161	0.3612
tmj_phx_hrta	Arizona, USA	-112.2361071,33.6332828	false	If you're looking for work in #Peoria, AZ, check out this #job: https://t.co/5peNZnl3XF #Hospitality #Veterans #Hiring #CareerArc	385	0.0	1.0	0.0	0.0
tmj_phx_health	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/msAouzdiO8 #Healthcare #Hiring #CareerArc	174	0.0	0.839	0.161	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Join the St. Luke's Medical Center team! See our latest #job opening here: https://t.co/N4bZGzEuFc #SignOnBonus https://t.co/X1yIqB07OF	196	0.0	0.858	0.142	0.3595
tmj_phx_jobs	Arizona, USA	-112.2373779,33.5805955	false	We're #hiring! Click to apply: Behavioral Health Technician - https://t.co/NXEP1tioc8 #Job #Peoria, AZ #Jobs #CareerArc	325	0.0	1.0	0.0	0.0
JoinLabSupport	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/ysP90MI0DN #Sales #Hiring	174	0.0	0.828	0.172	0.3612
ShopRoka	Arizona, USA	-112.20529408,33.66677533	false	Making a wishlist and checking it twice for these amazing #RebeccaMinkoff and #Cleobella bags https://t.co/vlTmURmrs5	407	0.0	0.774	0.226	0.5859
tuuee2	Phoenix, AZ	-112.06630493,33.59772635	false	Geology lab field trip (@ North Mountain Park - @phoenixparks in Phoenix, AZ) https://t.co/AtKHeYiIuY	355	0.0	1.0	0.0	0.0
MTC_Jobs	Arizona, USA	-112.1728283,33.5903698	false	Can you recommend anyone for this #job? Resource Specialist Teacher (RSP) - https://t.co/52K4pj238W #Education https://t.co/d11qqytlcR	329	0.0	0.839	0.161	0.3612
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/IXXLms37rC #MedEd #Scrublife #Nursing https://t.co/lqzRd6eqFb	196	0.0	0.583	0.417	0.8519
Justhike	Phoenix, AZ	-111.97418626,33.52182682	false	#Geocaching #Geocache #hiking @ Echo Canyon Summit Trail, Camelback Mountain in Phoenix, Arizona https://t.co/oCCq7aRxMN	260	0.0	1.0	0.0	0.0
